Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.16.0,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,STOP ON MEM FULL,,,,,,,,,,,,
Current Interval,24:00:00,,,,,,,,,,,,,
Start Time,6/8/2017,0:34:52,,,,,,,,,,,,
Current Time,7/6/2019,10:22:34,Logger Time,7/6/2019,16:47:01,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,759,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,2A,FFFFFFFF,10633410,Bat Type LSH14Light,,WD 42,PO 0,EXT 2,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/8/2017 0:34,1,3.71,-0.002098,0.624962,,,,-0.002098,0.624962,9.8,0,0,0,0
6/9/2017 0:34,2,3.51,0.005535,0.624962,,,,0.005535,0.624962,20.9,0,0,0,0
6/10/2017 0:34,3,3.51,-0.308802,0.624976,,,,-0.308802,0.624976,23.3,0,0,0,0
6/11/2017 0:34,4,3.46,-0.308847,0.624975,,,,-0.308847,0.624975,18.4,0,0,0,0
6/12/2017 0:34,5,3.46,-0.308033,0.624974,,,,-0.308033,0.624974,19.1,0,0,0,0
6/13/2017 0:34,6,3.46,-0.308853,0.624975,,,,-0.308853,0.624975,17.6,0,0,0,0
6/14/2017 0:34,7,3.41,-0.308857,0.624975,,,,-0.308857,0.624975,17.4,0,0,0,0
6/15/2017 0:34,8,3.41,-0.308884,0.624973,,,,-0.308884,0.624973,14.4,0,0,0,0
6/16/2017 0:34,9,3.41,-0.096756,0.624963,,,,-0.096756,0.624963,15,0,0,0,0
6/17/2017 0:34,10,3.36,-0.094913,0.624964,,,,-0.094913,0.624964,12,0,0,0,0
6/18/2017 0:34,11,3.36,-0.094429,0.624964,,,,-0.094429,0.624964,11.4,0,0,0,0
6/19/2017 0:34,12,3.41,-0.095766,0.624964,,,,-0.095766,0.624964,13.1,0,0,0,0
6/20/2017 0:34,13,3.41,-0.093596,0.624963,,,,-0.093596,0.624963,15.1,0,0,0,0
6/21/2017 0:34,14,3.41,-0.093616,0.624964,,,,-0.093616,0.624964,16,0,0,0,0
6/22/2017 0:34,15,3.36,-0.09318,0.624964,,,,-0.09318,0.624964,13,0,0,0,0
6/23/2017 0:34,16,3.36,-0.099644,0.624964,,,,-0.099644,0.624964,13.4,0,0,0,0
6/24/2017 0:34,17,3.41,-0.098921,0.624964,,,,-0.098921,0.624964,13.8,0,0,0,0
6/25/2017 0:34,18,3.41,-0.098848,0.624963,,,,-0.098848,0.624963,14.6,0,0,0,0
6/26/2017 0:34,19,3.41,-0.096039,0.624963,,,,-0.096039,0.624963,14.5,0,0,0,0
6/27/2017 0:34,20,3.41,-0.095957,0.624964,,,,-0.095957,0.624964,14.9,0,0,0,0
6/28/2017 0:34,21,3.36,-0.090384,0.624963,,,,-0.090384,0.624963,14.8,0,0,0,0
6/29/2017 0:34,22,3.41,-0.093702,0.624963,,,,-0.093702,0.624963,15.3,0,0,0,0
6/30/2017 0:34,23,3.41,-0.094391,0.624963,,,,-0.094391,0.624963,15.8,0,0,0,0
7/1/2017 0:34,24,3.36,-0.094128,0.624964,,,,-0.094128,0.624964,16,0,0,0,0
7/2/2017 0:34,25,3.36,-0.094086,0.624964,,,,-0.094086,0.624964,15.2,0,0,0,0
7/3/2017 0:34,26,3.36,-0.092705,0.624964,,,,-0.092705,0.624964,15.8,0,0,0,0
7/4/2017 0:34,27,3.36,-0.092869,0.624963,,,,-0.092869,0.624963,16.3,0,0,0,0
7/5/2017 0:34,28,3.36,-0.09226,0.624964,,,,-0.09226,0.624964,15.7,0,0,0,0
7/6/2017 0:34,29,3.41,-0.089922,0.624964,,,,-0.089922,0.624964,17.6,0,0,0,0
7/7/2017 0:34,30,3.41,-0.065044,0.624964,,,,-0.065044,0.624964,21.1,0,0,0,0
7/8/2017 0:34,31,3.41,0.036003,0.624962,,,,0.036003,0.624962,24.8,0,0,0,0
7/9/2017 0:34,32,3.41,-0.173353,0.624964,,,,-0.173353,0.624964,24.4,0,0,0,0
7/10/2017 0:34,33,3.36,-0.013514,0.624962,,,,-0.013514,0.624962,21.4,0,0,0,0
7/11/2017 0:34,34,3.36,-0.011234,0.624962,,,,-0.011234,0.624962,19.8,0,0,0,0
7/12/2017 0:34,35,3.36,-0.011261,0.624962,,,,-0.011261,0.624962,18.8,0,0,0,0
7/13/2017 0:34,36,3.36,-0.011246,0.624962,,,,-0.011246,0.624962,19.3,0,0,0,0
7/14/2017 0:34,37,3.36,-0.012104,0.624962,,,,-0.012104,0.624962,17.9,0,0,0,0
7/15/2017 0:34,38,3.36,-0.012045,0.624963,,,,-0.012045,0.624963,18.1,0,0,0,0
7/16/2017 0:34,39,3.36,-0.01214,0.624962,,,,-0.01214,0.624962,18.1,0,0,0,0
7/17/2017 0:34,40,3.36,-0.012264,0.624962,,,,-0.012264,0.624962,17.5,0,0,0,0
7/18/2017 0:34,41,3.41,-0.012547,0.624962,,,,-0.012547,0.624962,14.3,0,0,0,0
7/19/2017 0:34,42,3.41,-0.012693,0.624963,,,,-0.012693,0.624963,15.2,0,0,0,0
7/20/2017 0:34,43,3.41,-0.012428,0.624962,,,,-0.012428,0.624962,15.7,0,0,0,0
7/21/2017 0:34,44,3.41,-0.015278,0.624962,,,,-0.015278,0.624962,16.6,0,0,0,0
7/22/2017 0:34,45,3.41,-0.015209,0.624963,,,,-0.015209,0.624963,16.2,0,0,0,0
7/23/2017 0:34,46,3.41,-0.015152,0.624962,,,,-0.015152,0.624962,17.1,0,0,0,0
7/24/2017 0:34,47,3.41,-0.010458,0.624962,,,,-0.010458,0.624962,15.7,0,0,0,0
7/25/2017 0:34,48,3.41,-0.008657,0.624962,,,,-0.008657,0.624962,17.3,0,0,0,0
7/26/2017 0:34,49,3.36,-0.005665,0.624963,,,,-0.005665,0.624963,17.7,0,0,0,0
7/27/2017 0:34,50,3.36,-0.005568,0.624962,,,,-0.005568,0.624962,17.7,0,0,0,0
7/28/2017 0:34,51,3.36,-0.005558,0.624962,,,,-0.005558,0.624962,17.4,0,0,0,0
7/29/2017 0:34,52,3.36,-0.005268,0.624962,,,,-0.005268,0.624962,15.6,0,0,0,0
7/30/2017 0:34,53,3.41,-0.005198,0.624962,,,,-0.005198,0.624962,14.6,0,0,0,0
7/31/2017 0:34,54,3.41,-0.005146,0.624963,,,,-0.005146,0.624963,14.1,0,0,0,0
8/1/2017 0:34,55,3.41,-0.001089,0.624962,,,,-0.001089,0.624962,16.9,0,0,0,0
8/2/2017 0:34,56,3.41,-0.047159,0.624963,,,,-0.047159,0.624963,18.6,0,0,0,0
8/3/2017 0:34,57,3.36,-0.009991,0.624962,,,,-0.009991,0.624962,18.8,0,0,0,0
8/4/2017 0:34,58,3.36,0.048721,0.624963,,,,0.048721,0.624963,18.6,0,0,0,0
8/5/2017 0:34,59,3.36,-0.040056,0.624963,,,,-0.040056,0.624963,20.3,0,0,0,0
8/6/2017 0:34,60,3.36,0.00004,0.624962,,,,0.00004,0.624962,20.3,0,0,0,0
8/7/2017 0:34,61,3.36,-0.041784,0.624963,,,,-0.041784,0.624963,19,0,0,0,0
8/8/2017 0:34,62,3.36,-0.011786,0.624963,,,,-0.011786,0.624963,19.1,0,0,0,0
8/9/2017 0:34,63,3.36,-0.009224,0.624962,,,,-0.009224,0.624962,21.5,0,0,0,0
8/10/2017 0:34,64,3.36,-0.012331,0.624963,,,,-0.012331,0.624963,21.6,0,0,0,0
8/11/2017 0:34,65,3.36,-0.032915,0.624963,,,,-0.032915,0.624963,21.8,0,0,0,0
8/12/2017 0:34,66,3.36,-0.033155,0.624962,,,,-0.033155,0.624962,21.6,0,0,0,0
8/13/2017 0:34,67,3.36,-0.033255,0.624963,,,,-0.033255,0.624963,21.3,0,0,0,0
8/14/2017 0:34,68,3.36,-0.033045,0.624963,,,,-0.033045,0.624963,21.9,0,0,0,0
8/15/2017 0:34,69,3.36,-0.033142,0.624963,,,,-0.033142,0.624963,21.9,0,0,0,0
8/16/2017 0:34,70,3.36,-0.024317,0.624962,,,,-0.024317,0.624962,21.6,0,0,0,0
8/17/2017 0:34,71,3.36,-0.024128,0.624962,,,,-0.024128,0.624962,21.5,0,0,0,0
8/18/2017 0:34,72,3.36,-0.02417,0.624962,,,,-0.02417,0.624962,21.5,0,0,0,0
8/19/2017 0:34,73,3.36,0.097086,0.624962,,,,0.097086,0.624962,21.3,0,0,0,0
8/20/2017 0:34,74,3.36,0.1064,0.624961,,,,0.1064,0.624961,21.3,0,0,0,0
8/21/2017 0:34,75,3.36,0.10952,0.624961,,,,0.10952,0.624961,22.3,0,0,0,0
8/22/2017 0:34,76,3.36,0.110647,0.624961,,,,0.110647,0.624961,21.3,0,0,0,0
8/23/2017 0:34,77,3.36,0.111074,0.624962,,,,0.111074,0.624962,21.3,0,0,0,0
8/24/2017 0:34,78,3.36,0.112202,0.624961,,,,0.112202,0.624961,21.1,0,0,0,0
8/25/2017 0:34,79,3.36,0.113245,0.624961,,,,0.113245,0.624961,20.7,0,0,0,0
8/26/2017 0:34,80,3.36,0.114031,0.624961,,,,0.114031,0.624961,20.4,0,0,0,0
8/27/2017 0:34,81,3.36,0.114672,0.624961,,,,0.114672,0.624961,20.7,0,0,0,0
8/28/2017 0:34,82,3.36,0.115059,0.624961,,,,0.115059,0.624961,21.3,0,0,0,0
8/29/2017 0:34,83,3.36,0.116541,0.624961,,,,0.116541,0.624961,21,0,0,0,0
8/30/2017 0:34,84,3.36,0.116779,0.624961,,,,0.116779,0.624961,20.9,0,0,0,0
8/31/2017 0:34,85,3.36,0.116886,0.624961,,,,0.116886,0.624961,20.9,0,0,0,0
9/1/2017 0:34,86,3.36,0.161175,0.624961,,,,0.161175,0.624961,19.8,0,0,0,0
9/2/2017 0:34,87,3.41,0.025934,0.624962,,,,0.025934,0.624962,19.8,0,0,0,0
9/3/2017 0:34,88,3.41,0.025679,0.624962,,,,0.025679,0.624962,19.9,0,0,0,0
9/4/2017 0:34,89,3.41,0.025269,0.624962,,,,0.025269,0.624962,19.6,0,0,0,0
9/5/2017 0:34,90,3.41,0.016535,0.624962,,,,0.016535,0.624962,19.9,0,0,0,0
9/6/2017 0:34,91,3.41,0.01646,0.624962,,,,0.01646,0.624962,20,0,0,0,0
9/7/2017 0:34,92,3.41,0.016481,0.624962,,,,0.016481,0.624962,20.1,0,0,0,0
9/8/2017 0:34,93,3.41,0.016405,0.624962,,,,0.016405,0.624962,20.1,0,0,0,0
9/9/2017 0:34,94,3.41,0.016928,0.624962,,,,0.016928,0.624962,19.6,0,0,0,0
9/10/2017 0:34,95,3.41,0.017073,0.624962,,,,0.017073,0.624962,20.3,0,0,0,0
9/11/2017 0:34,96,3.41,0.017107,0.624962,,,,0.017107,0.624962,20.4,0,0,0,0
9/12/2017 0:34,97,3.41,0.016888,0.624962,,,,0.016888,0.624962,20.8,0,0,0,0
9/13/2017 0:34,98,3.36,0.016695,0.624962,,,,0.016695,0.624962,20.9,0,0,0,0
9/14/2017 0:34,99,3.41,0.016607,0.624962,,,,0.016607,0.624962,21.6,0,0,0,0
