Time,Sin(angle),,arm length [cm]:,146.5,,vertical deflection
2018-08-19 0:34,-0.037693,,,,,0
2018-08-20 0:34,-0.037342,,,,,0.0514215
2018-08-21 0:34,-0.037132,,,,,0.0821865
2018-08-22 0:34,-0.037544,,,,,0.0218285
2018-08-23 0:34,-0.037584,,,,,0.0159685
2018-08-24 0:34,-0.037796,,,,,-0.0150895
2018-08-25 0:34,-0.037889,,,,,-0.028714
2018-08-26 0:34,-0.038054,,,,,-0.0528865
2018-08-27 0:34,-0.03813,,,,,-0.0640205
2018-08-28 0:34,-0.038139,,,,,-0.065339
2018-08-29 0:34,-0.038057,,,,,-0.053326
2018-08-30 0:34,-0.037832,,,,,-0.0203635
2018-08-31 0:34,-0.038164,,,,,-0.0690015
2018-09-01 0:34,-0.038038,,,,,-0.0505425
2018-09-02 0:34,-0.037979,,,,,-0.041899
2018-09-03 0:34,-0.037819,,,,,-0.018459
2018-09-04 0:34,-0.03763,,,,,0.0092295
2018-09-05 0:34,-0.037397,,,,,0.043364
2018-09-06 0:34,-0.037161,,,,,0.077938
2018-09-07 0:34,-0.037359,,,,,0.048931
2018-09-08 0:34,-0.037233,,,,,0.06739
2018-09-09 0:34,-0.037249,,,,,0.065046
2018-09-10 0:34,-0.037313,,,,,0.05567
2018-09-11 0:34,-0.037262,,,,,0.0631415
2018-09-12 0:34,-0.037018,,,,,0.0988875
2018-09-13 0:34,-0.036537,,,,,0.169354
2018-09-14 0:34,-0.036669,,,,,0.150016
2018-09-15 0:34,-0.036366,,,,,0.1944055
2018-09-16 0:34,-0.035265,,,,,0.355702
2018-09-17 0:34,-0.034969,,,,,0.399066
2018-09-18 0:34,-0.034998,,,,,0.3948175
2018-09-19 0:34,-0.033092,,,,,0.6740465
2018-09-20 0:34,-0.031796,,,,,0.8639105
2018-09-21 0:34,-0.030508,,,,,1.0526025
2018-09-22 0:34,-0.029589,,,,,1.187236
2018-09-23 0:34,-0.029497,,,,,1.200714
2018-09-24 0:34,-0.02948,,,,,1.2032045
2018-09-25 0:34,-0.029371,,,,,1.219173
2018-09-26 0:34,-0.029205,,,,,1.243492
2018-09-27 0:34,-0.029007,,,,,1.272499
2018-09-28 0:34,-0.028587,,,,,1.334029
2018-09-29 0:34,-0.028273,,,,,1.38003
2018-09-30 0:34,-0.027901,,,,,1.434528
2018-10-01 0:34,-0.027298,,,,,1.5228675
2018-10-02 0:34,-0.026545,,,,,1.633182
2018-10-03 0:34,-0.025814,,,,,1.7402735
2018-10-04 0:34,-0.02504,,,,,1.8536645
2018-10-05 0:34,-0.024134,,,,,1.9863935
2018-10-06 0:34,-0.023001,,,,,2.152378
2018-10-07 0:34,-0.021854,,,,,2.3204135
2018-10-08 0:34,-0.020302,,,,,2.5477815
2018-10-09 0:34,-0.018965,,,,,2.743652
2018-10-10 0:34,-0.017597,,,,,2.944064
2018-10-11 0:34,-0.016394,,,,,3.1203035
2018-10-12 0:34,-0.015753,,,,,3.21421
2018-10-13 0:34,-0.01478,,,,,3.3567545
2018-10-14 0:34,-0.014095,,,,,3.457107
2018-10-15 0:34,-0.013409,,,,,3.557606
2018-10-16 0:34,-0.012854,,,,,3.6389135
2018-10-17 0:34,-0.012283,,,,,3.722565
2018-10-18 0:34,-0.012213,,,,,3.73282
2018-10-19 0:34,-0.012123,,,,,3.746005
2018-10-20 0:34,-0.012175,,,,,3.738387
2018-10-21 0:34,-0.011408,,,,,3.8507525
2018-10-22 0:34,-0.010845,,,,,3.933232
2018-10-23 0:34,-0.009668,,,,,4.1056625
2018-10-24 0:34,-0.00942,,,,,4.1419945
2018-10-25 0:34,-0.008739,,,,,4.241761
2018-10-26 0:34,-0.008335,,,,,4.300947
2018-10-27 0:34,-0.007721,,,,,4.390898
2018-10-28 0:34,-0.007717,,,,,4.391484
2018-10-29 0:34,-0.008121,,,,,4.332298
2018-10-30 0:34,-0.00745,,,,,4.4305995
2018-10-31 0:34,-0.0072,,,,,4.4672245
2018-11-01 0:34,-0.007071,,,,,4.486123
2018-11-02 0:34,-0.006365,,,,,4.589552
2018-11-03 0:34,-0.005407,,,,,4.729899
2018-11-04 0:34,-0.005314,,,,,4.7435235
2018-11-05 0:34,-0.004288,,,,,4.8938325
2018-11-06 0:34,-0.003977,,,,,4.939394
2018-11-07 0:34,-0.003893,,,,,4.9517
2018-11-08 0:34,-0.003275,,,,,5.042237
2018-11-09 0:34,-0.002779,,,,,5.114901
2018-11-10 0:34,-0.00259,,,,,5.1425895
2018-11-11 0:34,-0.002317,,,,,5.182584
2018-11-12 0:34,-0.002127,,,,,5.210419
2018-11-13 0:34,-0.001802,,,,,5.2580315
2018-11-14 0:34,-0.00186,,,,,5.2495345
2018-11-15 0:34,-0.001787,,,,,5.260229
2018-11-16 0:34,-0.001696,,,,,5.2735605
2018-11-17 0:34,-0.001423,,,,,5.313555
2018-11-18 0:34,-0.000645,,,,,5.427532
2018-11-19 0:34,-0.000504,,,,,5.4481885
2018-11-20 0:34,0.000057,,,,,5.530375
