Model,IC6656L Tilt Logger
Name,Tilt Logger
Serial Number,05119
Firmware Version,1.03,Software Version,1.16.0
Sampling Status,LOGGING
Sampling Rate,FIXED,STOP ON MEM FULL
Current Interval,24:0:0
Start Time,2017/06/08,00:34:52
Current Time,2019/07/06,10:22:34,Logger Time,2019/07/06,16:47:01
Number Of Sensors,2
Number Of Records,759,Dnl using USB
Sensor Upload Num / Status Code,1,2A,FFFFFFFF,10633410,Bat Type LSH14Light,,WD 42,PO 0,EXT 2,BO 0,SW 255,PDI 255


"TIMESTAMP","RECORD","BATTERY","Tilt 1","Tilt 2",,,,"Tilt 1","Tilt 2","LOGGER TEMP","RESET","USB","RSSI","STATUS 0x"
,,,,,,,Unit Type," "," ",,,,,"[code][P#]"
,,,,,,,Input Units," "," "
,,,,,,,Output Units," "," "
,,,,,,,Offset," "," "
,,,,,,,Cal A =," "," "
,,,,,,,Zero B =," "," "
,,,,,,,Cal C =," "," "
,,,,,,,Temp CF," "," "
,,,,,,,Temp Initial," "," "
,,,,,,,Linked Channel," "," "
,,,,,,,Sensor,"15 degrees","None"
"UNITS->",,"Volts","sin(angle)","Volts",,,,"sin(angle)","Volts","deg C"
2017/06/08 00:34:57,1,3.71,-0.002098,0.624962,,,,-0.002098,0.624962,9.80,0,0,0,000
2017/06/09 00:34:52,2,3.51,0.005535,0.624962,,,,0.005535,0.624962,20.90,0,0,0,000
2017/06/10 00:34:52,3,3.51,-0.308802,0.624976,,,,-0.308802,0.624976,23.30,0,0,0,000
2017/06/11 00:34:52,4,3.46,-0.308847,0.624975,,,,-0.308847,0.624975,18.40,0,0,0,000
2017/06/12 00:34:52,5,3.46,-0.308033,0.624974,,,,-0.308033,0.624974,19.10,0,0,0,000
2017/06/13 00:34:52,6,3.46,-0.308853,0.624975,,,,-0.308853,0.624975,17.60,0,0,0,000
2017/06/14 00:34:52,7,3.41,-0.308857,0.624975,,,,-0.308857,0.624975,17.40,0,0,0,000
2017/06/15 00:34:52,8,3.41,-0.308884,0.624973,,,,-0.308884,0.624973,14.40,0,0,0,000
2017/06/16 00:34:52,9,3.41,-0.096756,0.624963,,,,-0.096756,0.624963,15.00,0,0,0,000
