Model,IC6656L Tilt Logger,,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.16.0,,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,,
Sampling Rate,FIXED,STOP ON MEM FULL,,,,,,,,,,,,,
Current Interval,24:00:00,,,,,,,,,,,,,,
Start Time,6/8/2017,0:34:52,,,,,,,,,,,,,
Current Time,7/6/2019,10:22:34,Logger Time,7/6/2019,16:47:01,,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,,
Number Of Records,759,Dnl using USB,,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,2A,FFFFFFFF,10633410,Bat Type LSH14Light,,WD 42,PO 0,EXT 2,BO 0,SW 255,PDI 255,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x,
6/8/2017 0:34,1180,3.7,-0.002098,-1024,,,,-0.002098,-1024,9.8,0,0,0,0,0x006303
6/9/2017 0:34,1181,3.5,0.005535,-1008,,,,0.005535,-1008,20.9,0,0,0,0,0x006311
6/10/2017 0:34,1182,3.5,-0.308802,-656,,,,-0.308802,-656,23.3,0,0,0,0,0x00631F
6/11/2017 0:34,1183,3.5,-0.308847,-672,,,,-0.308847,-672,18.4,0,0,0,0,0x00632D
6/12/2017 0:34,1184,3.5,-0.308033,-688,,,,-0.308033,-688,19.1,0,0,0,0,0x00633B
6/13/2017 0:34,1185,3.5,-0.308853,-672,,,,-0.308853,-672,17.6,0,0,0,0,0x006349
6/14/2017 0:34,1186,3.4,-0.308857,-672,,,,-0.308857,-672,17.4,0,0,0,0,0x006357
6/15/2017 0:34,1187,3.4,-0.308884,-720,,,,-0.308884,-720,14.4,0,0,0,0,0x006365
6/16/2017 0:34,1188,3.4,-0.096756,-992,,,,-0.096756,-992,15,0,0,0,0,0x006373
6/17/2017 0:34,1189,3.4,-0.094913,-976,,,,-0.094913,-976,12,0,0,0,0,0x006381
6/18/2017 0:34,1190,3.4,-0.094429,-976,,,,-0.094429,-976,11.4,0,0,0,0,0x00638F
6/19/2017 0:34,1191,3.4,-0.095766,-976,,,,-0.095766,-976,13.1,0,0,0,0,0x00639D
6/20/2017 0:34,1192,3.4,-0.093596,-992,,,,-0.093596,-992,15.1,0,0,0,0,0x0063AB
6/21/2017 0:34,1193,3.4,-0.093616,-976,,,,-0.093616,-976,16,0,0,0,0,0x0063B9
6/22/2017 0:34,1194,3.4,-0.09318,-976,,,,-0.09318,-976,13,0,0,0,0,0x0063C7
6/23/2017 0:34,1195,3.4,-0.099644,-976,,,,-0.099644,-976,13.4,0,0,0,0,0x0063D5
6/24/2017 0:34,1196,3.4,-0.098921,-976,,,,-0.098921,-976,13.8,0,0,0,0,0x0063E3
6/25/2017 0:34,1197,3.4,-0.098848,-992,,,,-0.098848,-992,14.6,0,0,0,0,0x0063F1
6/26/2017 0:34,1198,3.4,-0.096039,-992,,,,-0.096039,-992,14.5,0,0,0,0,0x0063FF
6/27/2017 0:34,1199,3.4,-0.095957,-976,,,,-0.095957,-976,14.9,0,0,0,0,0x00640D
6/28/2017 0:34,1200,3.4,-0.090384,-992,,,,-0.090384,-992,14.8,0,0,0,0,0x00641B
6/29/2017 0:34,1201,3.4,-0.093702,-992,,,,-0.093702,-992,15.3,0,0,0,0,0x006429
6/30/2017 0:34,1202,3.4,-0.094391,-992,,,,-0.094391,-992,15.8,0,0,0,0,0x006437
