Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,12:00:00,,,,,,,,,,,,,
Start Time,7/19/2022,15:55:13,,,,,,,,,,,,
Current Time,9/23/2022,11:57:55,Logger Time,9/23/2022,12:20:52,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,132,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,6A,FFFFFFFF,147650,Bat Type LS26500,,WD 139,PO 0,EXT 255,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
7/19/2022 15:55,1,2,-0.078825,0.62496,,,,-0.078825,0.62496,26.8,1,0,0,0
7/20/2022 3:55,2,2.85,-0.079273,0.624955,,,,-0.079273,0.624955,10.7,1,0,0,0
7/20/2022 15:55,3,2,-0.081139,0.624954,,,,-0.081139,0.624954,22.4,1,0,0,0
7/21/2022 3:55,4,2,-0.081221,0.624953,,,,-0.081221,0.624953,6.1,0,0,0,0
7/21/2022 15:55,5,2,-0.081339,0.624952,,,,-0.081339,0.624952,22.4,0,0,0,0
7/22/2022 3:55,6,2,-0.081539,0.624951,,,,-0.081539,0.624951,9.4,0,0,0,0
7/22/2022 15:55,7,2,-0.083916,0.624954,,,,-0.083916,0.624954,26.6,0,0,0,0
7/23/2022 3:55,8,2,-0.080929,0.624949,,,,-0.080929,0.624949,11.2,0,0,0,0
7/23/2022 15:55,9,2,-0.079786,0.624949,,,,-0.079786,0.624949,11.1,0,0,0,0
7/24/2022 3:55,10,2,-0.079956,0.624948,,,,-0.079956,0.624948,6.6,0,0,0,0
7/24/2022 15:55,11,2,-0.081022,0.62495,,,,-0.081022,0.62495,17.9,0,0,0,0
7/25/2022 3:55,12,2,-0.081272,0.624946,,,,-0.081272,0.624946,3,0,0,0,0
7/25/2022 15:55,13,2,-0.084106,0.624958,,,,-0.084106,0.624958,27.4,0,0,0,0
7/26/2022 3:55,14,2,-0.083902,0.624946,,,,-0.083902,0.624946,14.7,0,0,0,0
7/26/2022 15:55,15,2,-0.084368,0.624948,,,,-0.084368,0.624948,19.2,0,0,0,0
7/27/2022 3:55,16,2,-0.084116,0.624945,,,,-0.084116,0.624945,8.8,0,0,0,0
7/27/2022 15:55,17,2,-0.083982,0.62495,,,,-0.083982,0.62495,17.3,0,0,0,0
7/28/2022 3:55,18,2,-0.083708,0.624944,,,,-0.083708,0.624944,6.3,0,0,0,0
