Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger Gruber#2,,,,,,,,,,,,,
Serial Number,5123,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,1:00:00,,,,,,,,,,,,,
Start Time,6/28/2019,13:07:13,,,,,,,,,,,,
Current Time,7/20/2022,16:43:52,Logger Time,7/20/2022,14:08:08,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,26786,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,20002A,FFFFFFFF,0,Bat Type LSH14Light,,WD 255,PO 0,EXT 157,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/28/2019 13:07,1,3.71,-0.308151,-0.006805,,,,-0.308151,-0.006805,22.6,0,0,0,0
6/28/2019 14:07,2,3.56,-0.308167,-0.037867,,,,-0.308167,-0.037867,21.8,0,0,0,0
6/28/2019 15:07,3,3.56,-0.308168,-0.037672,,,,-0.308168,-0.037672,21.6,0,0,0,0
6/28/2019 16:07,4,3.56,-0.308168,-0.037571,,,,-0.308168,-0.037571,21.4,0,0,0,0
6/28/2019 17:07,5,3.56,-0.30817,-0.037487,,,,-0.30817,-0.037487,21.3,0,0,0,0
6/28/2019 18:07,6,3.56,-0.308172,-0.037407,,,,-0.308172,-0.037407,21,0,0,0,0
6/28/2019 19:07,7,3.56,-0.308172,-0.037355,,,,-0.308172,-0.037355,21,0,0,0,0
6/28/2019 20:07,8,3.56,-0.30817,-0.008204,,,,-0.30817,-0.008204,21.3,0,0,0,0
6/28/2019 21:07,9,3.56,-0.30817,-0.008205,,,,-0.30817,-0.008205,21.1,0,0,0,0
6/28/2019 22:07,10,3.56,-0.30817,-0.008205,,,,-0.30817,-0.008205,21.1,0,0,0,0
6/28/2019 23:07,11,3.56,-0.308172,-0.008211,,,,-0.308172,-0.008211,21,0,0,0,0
6/29/2019 0:07,12,3.56,-0.308172,-0.008209,,,,-0.308172,-0.008209,20.9,0,0,0,0
6/29/2019 1:07,13,3.56,-0.308174,-0.008194,,,,-0.308174,-0.008194,20.8,0,0,0,0
6/29/2019 2:07,14,3.56,-0.308174,-0.008192,,,,-0.308174,-0.008192,20.7,0,0,0,0
6/29/2019 3:07,15,3.56,-0.308174,-0.008186,,,,-0.308174,-0.008186,20.6,0,0,0,0
6/29/2019 4:07,16,3.56,-0.308176,-0.008194,,,,-0.308176,-0.008194,20.4,0,0,0,0
6/29/2019 5:07,17,3.56,-0.308178,-0.008169,,,,-0.308178,-0.008169,20.3,0,0,0,0
