"Plot Title: Test Launch"
"#","Date Time, GMT-07:00","snow_depth, inches (LGR S/N: 21452816, SEN S/N: 20460900)","Current, mA (LGR S/N: 21452816, SEN S/N: 20460900)"
1,09/23/22 02:47:57 PM,98.003,0.0187
2,09/23/22 08:47:57 PM,1.324,0.0187
3,09/24/22 02:47:57 AM,2.131,0.0187
4,09/24/22 08:47:57 AM,2.007,0.0187
5,09/24/22 02:47:57 PM,2.504,0.0187
6,09/24/22 08:47:57 PM,1.696,0.0187
7,09/25/22 02:47:57 AM,2.131,0.0187
8,09/25/22 08:47:57 AM,2.876,0.0187
9,09/25/22 02:47:57 PM,2.131,0.0187
10,09/25/22 08:47:57 PM,2.814,0.0187
11,09/26/22 02:47:57 AM,2.566,0.0187
12,09/26/22 08:47:57 AM,2.255,0.0187
13,09/26/22 02:47:57 PM,2.690,0.0187
14,09/26/22 08:47:57 PM,2.255,0.0187
15,09/27/22 02:47:57 AM,0.206,0.0187
16,09/27/22 08:47:57 AM,3.435,0.0187
17,09/27/22 02:47:57 PM,8.713,0.0187
18,09/27/22 08:47:57 PM,10.327,0.0187
19,09/28/22 02:47:57 AM,10.141,0.0187
20,09/28/22 08:47:57 AM,9.893,0.0187
21,09/28/22 02:47:57 PM,8.775,0.0187
22,09/28/22 08:47:57 PM,9.023,0.0187
23,09/29/22 02:47:57 AM,8.651,0.0187
24,09/29/22 08:47:57 AM,8.465,0.0187
25,09/29/22 02:47:57 PM,7.906,0.0187
26,09/29/22 08:47:57 PM,8.092,0.0187
27,09/30/22 02:47:57 AM,8.340,0.0187
28,09/30/22 08:47:57 AM,8.216,0.0187
29,09/30/22 02:47:57 PM,7.781,0.0187
30,09/30/22 08:47:57 PM,7.719,0.0187
31,10/01/22 02:47:57 AM,7.657,0.0187
32,10/01/22 08:47:57 AM,7.657,0.0187
33,10/01/22 02:47:57 PM,7.471,0.0187
34,10/01/22 08:47:57 PM,7.719,0.0187
35,10/02/22 02:47:57 AM,7.657,0.0187
36,10/02/22 08:47:57 AM,8.030,0.0187
37,10/02/22 02:47:57 PM,7.533,0.0187
38,10/02/22 08:47:57 PM,7.906,0.0187
39,10/03/22 02:47:57 AM,7.844,0.0187
40,10/03/22 08:47:57 AM,7.906,0.0187
41,10/03/22 02:47:57 PM,7.533,0.0187
42,10/03/22 08:47:57 PM,7.657,0.0187
43,10/04/22 02:47:57 AM,7.719,0.0187
44,10/04/22 08:47:57 AM,7.471,0.0187
45,10/04/22 02:47:57 PM,6.726,0.0187
46,10/04/22 08:47:57 PM,7.036,0.0187
47,10/05/22 02:47:57 AM,7.347,0.0187
48,10/05/22 08:47:57 AM,7.409,0.0187
49,10/05/22 02:47:57 PM,7.036,0.0187
50,10/05/22 08:47:57 PM,6.726,0.0187
51,10/06/22 02:47:57 AM,6.602,0.0187
52,10/06/22 08:47:57 AM,6.664,0.0187
53,10/06/22 02:47:57 PM,4.615,0.0187
54,10/06/22 08:47:57 PM,3.559,0.0187
55,10/07/22 02:47:57 AM,3.187,0.0187
56,10/07/22 08:47:57 AM,2.069,0.0187
57,10/07/22 02:47:57 PM,1.386,0.0187
58,10/07/22 08:47:57 PM,0.703,0.0187
59,10/08/22 02:47:57 AM,2.938,0.0187
60,10/08/22 08:47:57 AM,3.062,0.0187
61,10/08/22 02:47:57 PM,2.628,0.0187
62,10/08/22 08:47:57 PM,2.752,0.0187
63,10/09/22 02:47:57 AM,2.566,0.0187
64,10/09/22 08:47:57 AM,3.000,0.0187
65,10/09/22 02:47:57 PM,2.814,0.0187
66,10/09/22 08:47:57 PM,2.441,0.0187
67,10/10/22 02:47:57 AM,2.069,0.0187
68,10/10/22 08:47:57 AM,1.696,0.0187
69,10/10/22 02:47:57 PM,2.566,0.0187
70,10/10/22 08:47:57 PM,2.566,0.0187
71,10/11/22 02:47:57 AM,3.000,0.0187
72,10/11/22 08:47:57 AM,2.814,0.0187
73,10/11/22 02:47:57 PM,2.566,0.0187
74,10/11/22 08:47:57 PM,2.876,0.0187
75,10/12/22 02:47:57 AM,3.062,0.0187
76,10/12/22 08:47:57 AM,3.000,0.0187
77,10/12/22 02:47:57 PM,2.876,0.0187
78,10/12/22 08:47:57 PM,2.566,0.0187
79,10/13/22 02:47:57 AM,1.821,0.0187
80,10/13/22 08:47:57 AM,-0.042,0.0187
81,10/13/22 02:47:57 PM,3.187,0.0187
82,10/13/22 08:47:57 PM,3.311,0.0187
83,10/14/22 02:47:57 AM,3.497,0.0187
84,10/14/22 08:47:57 AM,3.373,0.0187
85,10/14/22 02:47:57 PM,2.441,0.0187
86,10/14/22 08:47:57 PM,2.566,0.0187
87,10/15/22 02:47:57 AM,2.752,0.0187
88,10/15/22 08:47:57 AM,3.435,0.0187
89,10/15/22 02:47:57 PM,3.621,0.0187
90,10/15/22 08:47:57 PM,3.932,0.0187
91,10/16/22 02:47:57 AM,3.932,0.0187
92,10/16/22 08:47:57 AM,3.870,0.0187
93,10/16/22 02:47:57 PM,3.808,0.0187
94,10/16/22 08:47:57 PM,4.428,0.0187
95,10/17/22 02:47:57 AM,4.304,0.0187
96,10/17/22 08:47:57 AM,4.304,0.0187
97,10/17/22 02:47:57 PM,4.118,0.0187
98,10/17/22 08:47:57 PM,4.118,0.0187
99,10/18/22 02:47:57 AM,4.242,0.0187
100,10/18/22 08:47:57 AM,4.180,0.0187
101,10/18/22 02:47:57 PM,3.745,0.0187
102,10/18/22 08:47:57 PM,4.180,0.0187
103,10/19/22 02:47:57 AM,3.994,0.0187
104,10/19/22 08:47:57 AM,3.808,0.0187
105,10/19/22 02:47:57 PM,3.621,0.0187
106,10/19/22 08:47:57 PM,4.987,0.0187
107,10/20/22 02:47:57 AM,4.801,0.0187
108,10/20/22 08:47:57 AM,3.745,0.0187
109,10/20/22 02:47:57 PM,0.765,0.0187
110,10/20/22 08:47:57 PM,1.510,0.0187
111,10/21/22 02:47:57 AM,3.000,0.0187
112,10/21/22 08:47:57 AM,4.180,0.0187
113,10/21/22 02:47:57 PM,3.932,0.0187
114,10/21/22 08:47:57 PM,5.174,0.0187
115,10/22/22 02:47:57 AM,5.608,0.0187
116,10/22/22 08:47:57 AM,5.670,0.0187
117,10/22/22 02:47:57 PM,4.677,0.0187
118,10/22/22 08:47:57 PM,5.422,0.0187
119,10/23/22 02:47:57 AM,5.298,0.0187
120,10/23/22 08:47:57 AM,5.422,0.0187
121,10/23/22 02:47:57 PM,4.118,0.0187
122,10/23/22 08:47:57 PM,5.422,0.0187
123,10/24/22 02:47:57 AM,5.422,0.0125
124,10/24/22 08:47:57 AM,5.049,0.0187
125,10/24/22 02:47:57 PM,2.814,0.0187
126,10/24/22 08:47:57 PM,4.863,0.0187
127,10/25/22 02:47:57 AM,4.801,0.0187
128,10/25/22 08:47:57 AM,5.111,0.0187
129,10/25/22 02:47:57 PM,4.739,0.0187
130,10/25/22 08:47:57 PM,4.180,0.0187
131,10/26/22 02:47:57 AM,4.801,0.0187
132,10/26/22 08:47:57 AM,5.111,0.0187
133,10/26/22 02:47:57 PM,5.484,0.0187
134,10/26/22 08:47:57 PM,4.491,0.0187
135,10/27/22 02:47:57 AM,5.608,0.0187
