Model,Tilt Logger DTL201B/2B,,,,,,,,,,,
Name,sarlab_tiltlogger_1,,,,,,,,,,,
Serial Number,UT1011,,,,,,,,,,,
Firmware Version,3.42,Software Version,1.19.1,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,
Current Interval,1:00:00,,,,,,,,,,,
Start Time,6/28/2019,13:20:54,,,,,,,,,,
Current Time,5/5/2021,9:42:25,Logger Time,5/5/2021,7:40:35,,,,,,,
Number Of Sensors,1,,,,,,,,,,,
Number Of Records,13592,Dnl using USB,DTLink enabled,,,,,,,,,
Sensor Upload Num / Status Code,3,2222,40000,14172,Bat Type LSH20,,WD 2,PO 3,EXT 0,BO 0,SW 0,PDI 0
,,,,,,,,,,,,
,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,,,,Tilt 1,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/28/2019 13:20,1,3.63,-0.008129,,,,-0.008129,23.4,1,1,0,0
6/28/2019 14:20,2,3.55,-0.010319,,,,-0.010319,22.1,0,0,0,0
6/28/2019 15:20,3,3.55,-0.010315,,,,-0.010315,21.6,0,0,0,0
6/28/2019 16:20,4,3.55,-0.010313,,,,-0.010313,21.5,0,0,0,0
6/28/2019 17:20,5,3.55,-0.010302,,,,-0.010302,21.3,0,0,0,0
6/28/2019 18:20,6,3.55,-0.010284,,,,-0.010284,21.1,0,0,0,0
6/28/2019 19:20,7,3.55,-0.005859,,,,-0.005859,21.3,0,0,0,0
6/28/2019 20:20,8,3.55,-0.032862,,,,-0.032862,21.3,0,0,0,0
6/28/2019 21:20,9,3.56,-0.032763,,,,-0.032763,21.2,0,0,0,0
6/28/2019 22:20,10,3.56,-0.032732,,,,-0.032732,21.1,0,0,0,0
6/28/2019 23:20,11,3.56,-0.032728,,,,-0.032728,21.1,0,0,0,0
6/29/2019 0:20,12,3.57,-0.032698,,,,-0.032698,21,0,0,0,0
6/29/2019 1:20,13,3.57,-0.032681,,,,-0.032681,20.9,0,0,0,0
6/29/2019 2:20,14,3.57,-0.032663,,,,-0.032663,20.8,0,0,0,0
6/29/2019 3:20,15,3.57,-0.03264,,,,-0.03264,20.6,0,0,0,0
6/29/2019 4:20,16,3.57,-0.032631,,,,-0.032631,20.5,0,0,0,0
6/29/2019 5:20,17,3.57,-0.032616,,,,-0.032616,20.4,0,0,0,0
6/29/2019 6:20,18,3.57,-0.032614,,,,-0.032614,20.3,0,0,0,0
6/29/2019 7:20,19,3.57,-0.032606,,,,-0.032606,20.2,0,0,0,0
6/29/2019 8:20,20,3.57,-0.032583,,,,-0.032583,20.2,0,0,0,0
6/29/2019 9:20,21,3.57,-0.032587,,,,-0.032587,20.2,0,0,0,0
6/29/2019 10:20,22,3.57,-0.032581,,,,-0.032581,20.4,0,0,0,0
