"Plot Title: sarlab_hobo_1"
"#","Date Time, GMT-07:00","snow_depth, inches (LGR S/N: 20584853, SEN S/N: 20460884)","Current, mA (LGR S/N: 20584853, SEN S/N: 20460884)"
1,07/07/19 03:42:44 PM,67.204,0.0187
2,07/07/19 09:42:44 PM,6.540,0.0187
3,07/08/19 03:42:44 AM,7.223,0.0187
4,07/08/19 09:42:44 AM,6.974,0.0187
5,07/08/19 03:42:44 PM,5.732,0.0187
6,07/08/19 09:42:44 PM,5.857,0.0187
7,07/09/19 03:42:44 AM,6.726,0.0187
8,07/09/19 09:42:44 AM,5.484,0.0187
9,07/09/19 03:42:44 PM,6.974,0.0187
10,07/09/19 09:42:44 PM,1.200,0.0187
11,07/10/19 03:42:44 AM,4.118,0.0187
12,07/10/19 09:42:44 AM,-3.271,0.0187
13,07/10/19 03:42:44 PM,4.615,0.0187
14,07/10/19 09:42:44 PM,7.906,0.0187
15,07/11/19 03:42:44 AM,6.229,0.0187
16,07/11/19 09:42:44 AM,7.657,0.0187
17,07/11/19 03:42:44 PM,6.664,0.0187
18,07/11/19 09:42:44 PM,7.906,0.0187
19,07/12/19 03:42:44 AM,6.850,0.0187
20,07/12/19 09:42:44 AM,7.968,0.0187
21,07/12/19 03:42:44 PM,6.291,0.0187
22,07/12/19 09:42:44 PM,5.360,0.0187
23,07/13/19 03:42:44 AM,7.471,0.0187
24,07/13/19 09:42:44 AM,5.981,0.0187
25,07/13/19 03:42:44 PM,5.670,0.0187
26,07/13/19 09:42:44 PM,6.167,0.0187
27,07/14/19 03:42:44 AM,5.981,0.0187
28,07/14/19 09:42:44 AM,6.353,0.0187
29,07/14/19 03:42:44 PM,6.353,0.0187
30,07/14/19 09:42:44 PM,5.795,0.0187
31,07/15/19 03:42:44 AM,-3.333,0.0187
32,07/15/19 09:42:44 AM,4.925,0.0187
33,07/15/19 03:42:44 PM,7.036,0.0187
34,07/15/19 09:42:44 PM,2.628,0.0187
35,07/16/19 03:42:44 AM,-0.477,0.0187
36,07/16/19 09:42:44 AM,4.428,0.0187
37,07/16/19 03:42:44 PM,6.291,0.0187
38,07/16/19 09:42:44 PM,5.919,0.0187
39,07/17/19 03:42:44 AM,1.883,0.0187
40,07/17/19 09:42:44 AM,2.131,0.0187
41,07/17/19 03:42:44 PM,3.125,0.0187
42,07/17/19 09:42:44 PM,2.255,0.0187
43,07/18/19 03:42:44 AM,2.814,0.0187
44,07/18/19 09:42:44 AM,2.379,0.0187
45,07/18/19 03:42:44 PM,4.242,0.0187
46,07/18/19 09:42:44 PM,6.540,0.0187
47,07/19/19 03:42:44 AM,-1.719,0.0187
48,07/19/19 09:42:44 AM,6.726,0.0187
49,07/19/19 03:42:44 PM,6.540,0.0187
50,07/19/19 09:42:44 PM,1.945,0.0187
51,07/20/19 03:42:44 AM,1.138,0.0187
52,07/20/19 09:42:44 AM,4.242,0.0187
53,07/20/19 03:42:44 PM,4.801,0.0187
54,07/20/19 09:42:44 PM,-4.140,0.0187
55,07/21/19 03:42:44 AM,8.092,0.0187
56,07/21/19 09:42:44 AM,6.478,0.0187
57,07/21/19 03:42:44 PM,0.889,0.0187
58,07/21/19 09:42:44 PM,6.726,0.0187
59,07/22/19 03:42:44 AM,5.608,0.0187
60,07/22/19 09:42:44 AM,8.899,0.0187
61,07/22/19 03:42:44 PM,8.030,0.0187
62,07/22/19 09:42:44 PM,7.968,0.0187
63,07/23/19 03:42:44 AM,6.105,0.0187
64,07/23/19 09:42:44 AM,6.415,0.0187
65,07/23/19 03:42:44 PM,-0.104,0.0187
66,07/23/19 09:42:44 PM,2.379,0.0187
67,07/24/19 03:42:44 AM,6.353,0.0187
68,07/24/19 09:42:44 AM,6.726,0.0187
69,07/24/19 03:42:44 PM,-1.284,0.0187
70,07/24/19 09:42:44 PM,6.726,0.0187
71,07/25/19 03:42:44 AM,6.353,0.0187
72,07/25/19 09:42:44 AM,6.540,0.0187
73,07/25/19 03:42:44 PM,4.242,0.0187
74,07/25/19 09:42:44 PM,3.125,0.0187
75,07/26/19 03:42:44 AM,6.602,0.0187
76,07/26/19 09:42:44 AM,6.478,0.0187
77,07/26/19 03:42:44 PM,-1.843,0.0000
78,07/26/19 09:42:44 PM,114.023,0.0000
79,07/27/19 03:42:44 AM,114.023,0.0000
80,07/27/19 09:42:44 AM,114.023,0.0000
81,07/27/19 03:42:44 PM,114.023,0.0000
82,07/27/19 09:42:44 PM,114.023,0.0000
83,07/28/19 03:42:44 AM,114.023,0.0000
84,07/28/19 09:42:44 AM,114.023,0.0000
85,07/28/19 03:42:44 PM,114.023,0.0000
86,07/28/19 09:42:44 PM,114.023,0.0000
87,07/29/19 03:42:44 AM,114.023,0.0000
88,07/29/19 09:42:44 AM,114.023,0.0000
89,07/29/19 03:42:44 PM,114.023,0.0000
90,07/29/19 09:42:44 PM,114.023,0.0000
91,07/30/19 03:42:44 AM,114.023,0.0000
92,07/30/19 09:42:44 AM,114.023,0.0000
93,07/30/19 03:42:44 PM,114.023,0.0000
94,07/30/19 09:42:44 PM,114.023,0.0000
95,07/31/19 03:42:44 AM,114.023,0.0000
96,07/31/19 09:42:44 AM,114.023,0.0000
97,07/31/19 03:42:44 PM,114.023,0.0000
98,07/31/19 09:42:44 PM,114.023,0.0000
99,08/01/19 03:42:44 AM,114.023,0.0000
100,08/01/19 09:42:44 AM,114.023,0.0000
101,08/01/19 03:42:44 PM,114.023,0.0000
102,08/01/19 09:42:44 PM,114.023,0.0000
103,08/02/19 03:42:44 AM,114.023,0.0000
104,08/02/19 09:42:44 AM,114.023,0.0000
105,08/02/19 03:42:44 PM,114.023,0.0000
106,08/02/19 09:42:44 PM,114.023,0.0000
107,08/03/19 03:42:44 AM,114.023,0.0000
108,08/03/19 09:42:44 AM,114.023,0.0000
109,08/03/19 03:42:44 PM,114.023,0.0000
110,08/03/19 09:42:44 PM,114.023,0.0000
111,08/04/19 03:42:44 AM,114.023,0.0000
112,08/04/19 09:42:44 AM,114.023,0.0000
113,08/04/19 03:42:44 PM,114.023,0.0000
114,08/04/19 09:42:44 PM,114.023,0.0000
115,08/05/19 03:42:44 AM,114.023,0.0000
116,08/05/19 09:42:44 AM,114.023,0.0000
117,08/05/19 03:42:44 PM,114.023,0.0000
118,08/05/19 09:42:44 PM,114.023,0.0000
119,08/06/19 03:42:44 AM,114.023,0.0000
120,08/06/19 09:42:44 AM,114.023,0.0000
121,08/06/19 03:42:44 PM,114.023,0.0000
122,08/06/19 09:42:44 PM,114.023,0.0000
123,08/07/19 03:42:44 AM,114.023,0.0000
124,08/07/19 09:42:44 AM,114.023,0.0000
125,08/07/19 03:42:44 PM,114.023,0.0000
126,08/07/19 09:42:44 PM,114.023,0.0000
127,08/08/19 03:42:44 AM,114.023,0.0000
128,08/08/19 09:42:44 AM,114.023,0.0000
129,08/08/19 03:42:44 PM,114.023,0.0000
130,08/08/19 09:42:44 PM,114.023,0.0000
131,08/09/19 03:42:44 AM,114.023,0.0000
132,08/09/19 09:42:44 AM,114.023,0.0000
133,08/09/19 03:42:44 PM,114.023,0.0000
134,08/09/19 09:42:44 PM,114.023,0.0000
135,08/10/19 03:42:44 AM,114.023,0.0000
136,08/10/19 09:42:44 AM,114.023,0.0000
137,08/10/19 03:42:44 PM,114.023,0.0000
138,08/10/19 09:42:44 PM,114.023,0.0000
139,08/11/19 03:42:44 AM,114.023,0.0000
140,08/11/19 09:42:44 AM,114.023,0.0000
141,08/11/19 03:42:44 PM,114.023,0.0000
142,08/11/19 09:42:44 PM,114.023,0.0000
143,08/12/19 03:42:44 AM,114.023,0.0000
144,08/12/19 09:42:44 AM,114.023,0.0000
145,08/12/19 03:42:44 PM,114.023,0.0000
146,08/12/19 09:42:44 PM,114.023,0.0000
147,08/13/19 03:42:44 AM,114.023,0.0000
148,08/13/19 09:42:44 AM,114.023,0.0000
149,08/13/19 03:42:44 PM,114.023,0.0000
150,08/13/19 09:42:44 PM,114.023,0.0000
151,08/14/19 03:42:44 AM,114.023,0.0000
152,08/14/19 09:42:44 AM,114.023,0.0000
153,08/14/19 03:42:44 PM,114.023,0.0000
154,08/14/19 09:42:44 PM,114.023,0.0000
155,08/15/19 03:42:44 AM,114.023,0.0000
156,08/15/19 09:42:44 AM,114.023,0.0000
157,08/15/19 03:42:44 PM,114.023,0.0000
158,08/15/19 09:42:44 PM,114.023,0.0000
159,08/16/19 03:42:44 AM,114.023,0.0000
160,08/16/19 09:42:44 AM,114.023,0.0000
161,08/16/19 03:42:44 PM,114.023,0.0000
162,08/16/19 09:42:44 PM,114.023,0.0000
