<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
1,23.09.2022 22:29:08,8.6119,6.02034,-5.09856,3.429
2,23.09.2022 23:00:00,4.48068,6.05693,-5.08032,3.421
3,24.09.2022 00:00:00,4.82882,6.04775,-5.08302,
4,24.09.2022 01:00:00,3.65264,6.05808,-5.07435,
5,24.09.2022 02:00:00,3.73888,6.05198,-5.07992,
6,24.09.2022 03:00:00,2.62882,6.04841,-5.07206,
7,24.09.2022 04:00:00,2.04523,6.05034,-5.07013,
8,24.09.2022 05:00:00,1.49761,6.05056,-5.06685,3.458
9,24.09.2022 06:00:00,1.2865,6.0516,-5.06593,
10,24.09.2022 07:00:00,1.17116,6.04935,-5.06662,
11,24.09.2022 08:00:00,0.982796,6.05006,-5.06516,
12,24.09.2022 09:00:00,0.769569,6.05028,-5.06422,
13,24.09.2022 10:00:00,0.524061,6.05067,-5.06412,
14,24.09.2022 11:00:00,0.545755,6.0494,-5.06521,3.451
15,24.09.2022 12:00:00,0.362686,6.04984,-5.06309,
16,24.09.2022 13:00:00,0.453694,6.05407,-5.06651,
17,24.09.2022 14:00:00,0.250519,6.05297,-5.06386,
18,24.09.2022 15:00:00,0.059512,6.05797,-5.06215,
19,24.09.2022 16:00:00,-0.345776,6.05901,-5.0618,
20,24.09.2022 17:00:00,0.156867,6.06588,-5.06816,3.431
21,24.09.2022 18:00:00,1.1611,6.07258,-5.0747,
22,24.09.2022 19:00:00,3.20872,6.07917,-5.08933,
23,24.09.2022 20:00:00,2.74946,6.08533,-5.08005,
24,24.09.2022 21:00:00,2.44152,6.0666,-5.08165,
25,24.09.2022 22:00:00,4.79179,6.06522,-5.10001,
26,24.09.2022 23:00:00,7.73253,6.05951,-5.12136,3.421
27,25.09.2022 00:00:00,4.6685,6.05885,-5.0899,
28,25.09.2022 01:00:00,3.37433,6.04297,-5.08815,
29,25.09.2022 02:00:00,2.94575,6.04347,-5.08395,
30,25.09.2022 03:00:00,1.43782,6.04193,-5.07637,
31,25.09.2022 04:00:00,1.54629,6.03605,-5.07875,
32,25.09.2022 05:00:00,1.42671,6.03501,-5.07862,3.455
33,25.09.2022 06:00:00,0.932006,6.03105,-5.07559,
34,25.09.2022 07:00:00,0.89444,6.03589,-5.0772,
35,25.09.2022 08:00:00,0.80925,6.02963,-5.07461,
36,25.09.2022 09:00:00,0.797082,6.02952,-5.07487,
37,25.09.2022 10:00:00,0.697613,6.03215,-5.07313,
38,25.09.2022 11:00:00,0.373269,6.03858,-5.07138,3.427
39,25.09.2022 12:00:00,-0.032019,6.04457,-5.06916,
40,25.09.2022 13:00:00,-0.337312,6.04325,-5.07073,
41,25.09.2022 14:00:00,-0.646831,6.03896,-5.06643,
42,25.09.2022 15:00:00,-1.19128,6.04089,-5.06643,
43,25.09.2022 16:00:00,-0.99498,6.0421,-5.06758,
44,25.09.2022 17:00:00,-0.696569,6.04808,-5.07089,3.455
45,25.09.2022 18:00:00,0.917191,6.05143,-5.0816,
46,25.09.2022 19:00:00,2.7029,6.05775,-5.09888,
47,25.09.2022 20:00:00,3.02406,6.05374,-5.09477,
48,25.09.2022 21:00:00,4.04999,6.0616,-5.10477,
49,25.09.2022 22:00:00,4.98808,6.05012,-5.10897,
50,25.09.2022 23:00:00,4.22988,6.03913,-5.1011,3.437
51,26.09.2022 00:00:00,2.22036,6.02737,-5.08712,
52,26.09.2022 01:00:00,2.21666,6.02606,-5.08829,
53,26.09.2022 02:00:00,1.8357,6.02271,-5.08637,
54,26.09.2022 03:00:00,0.998671,6.02573,-5.07992,
55,26.09.2022 04:00:00,0.441523,6.01913,-5.07847,
56,26.09.2022 05:00:00,0.0150705,6.01677,-5.07649,3.429
57,26.09.2022 06:00:00,-0.127789,6.0171,-5.0752,
58,26.09.2022 07:00:00,-0.146836,6.02375,-5.07534,
59,26.09.2022 08:00:00,-0.272761,6.02661,-5.07285,
60,26.09.2022 09:00:00,-0.576993,6.02172,-5.07448,
61,26.09.2022 10:00:00,-0.94366,6.01924,-5.07078,
62,26.09.2022 11:00:00,-0.753712,6.02408,-5.07429,3.441
63,26.09.2022 12:00:00,-1.04101,6.01985,-5.07295,
64,26.09.2022 13:00:00,-0.734136,6.02501,-5.07382,
65,26.09.2022 14:00:00,-0.874875,6.02699,-5.07123,
66,26.09.2022 15:00:00,-3.42566,6.03193,-5.06073,
67,26.09.2022 16:00:00,-1.54789,6.03523,-5.07661,
68,26.09.2022 17:00:00,-0.287047,6.05407,-5.08073,3.441
69,26.09.2022 18:00:00,0.139935,6.06703,-5.08057,
70,26.09.2022 19:00:00,0.490199,6.07269,-5.08664,
71,26.09.2022 20:00:00,3.95475,6.06676,-5.10142,
72,26.09.2022 21:00:00,1.98438,6.09697,-5.08244,
73,26.09.2022 22:00:00,1.89708,6.05709,-5.09235,
74,26.09.2022 23:00:00,2.15052,6.08165,-5.0983,3.434
75,27.09.2022 00:00:00,2.67591,6.06742,-5.08603,
76,27.09.2022 01:00:00,2.35264,6.08741,-5.09264,
77,27.09.2022 02:00:00,0.873275,6.07077,-5.07518,
78,27.09.2022 03:00:00,-0.450008,6.07615,-5.06237,
79,27.09.2022 04:00:00,-0.974346,6.0678,-5.06592,
80,27.09.2022 05:00:00,-0.947363,6.10917,-5.07601,3.462
81,27.09.2022 06:00:00,-0.857942,6.07885,-5.0876,
82,27.09.2022 07:00:00,-1.05741,6.06703,-5.07175,
83,27.09.2022 08:00:00,-0.950008,6.08912,-5.06764,
84,27.09.2022 09:00:00,-0.828312,6.10307,-5.07339,
85,27.09.2022 10:00:00,-0.609266,6.09994,-5.07883,
86,27.09.2022 11:00:00,-0.616674,6.1051,-5.07041,3.459
87,27.09.2022 12:00:00,-0.507152,6.10834,-5.07489,
88,27.09.2022 13:00:00,-0.353184,6.08445,-5.0725,
89,27.09.2022 14:00:00,-0.544718,6.08555,-5.07342,
90,27.09.2022 15:00:00,-0.633073,6.06725,-5.07481,
