"Plot Title: sarlab_hobo_1"
"#","Date Time, GMT-07:00","snow_depth, inches (LGR S/N: 20584853, SEN S/N: 20460884)","Current, mA (LGR S/N: 20584853, SEN S/N: 20460884)"
1,09/23/22 02:11:46 PM,-9.729,0.0187
2,09/23/22 08:11:46 PM,-8.363,0.0187
3,09/24/22 02:11:46 AM,-8.052,0.0187
4,09/24/22 08:11:46 AM,-8.114,0.0187
5,09/24/22 02:11:46 PM,-8.301,0.0187
6,09/24/22 08:11:46 PM,-7.804,0.0125
7,09/25/22 02:11:46 AM,-7.431,0.0125
8,09/25/22 08:11:46 AM,-7.618,0.0125
9,09/25/22 02:11:46 PM,-7.804,0.0187
10,09/25/22 08:11:46 PM,-7.928,0.0187
11,09/26/22 02:11:46 AM,-7.866,0.0187
12,09/26/22 08:11:46 AM,-7.742,0.0125
13,09/26/22 02:11:46 PM,-8.114,0.0125
14,09/26/22 08:11:46 PM,-8.425,0.0125
15,09/27/22 02:11:46 AM,-10.660,0.0125
16,09/27/22 08:11:46 AM,-7.245,0.0125
17,09/27/22 02:11:46 PM,-0.912,0.0125
18,09/27/22 08:11:46 PM,-0.166,0.0125
19,09/28/22 02:11:46 AM,-0.104,0.0125
20,09/28/22 08:11:46 AM,-0.539,0.0125
21,09/28/22 02:11:46 PM,-1.532,0.0187
22,09/28/22 08:11:46 PM,-1.036,0.0125
23,09/29/22 02:11:46 AM,-2.464,0.0125
24,09/29/22 08:11:46 AM,110.235,0.0125
25,09/29/22 02:11:46 PM,-2.091,0.0125
26,09/29/22 08:11:46 PM,-2.153,0.0125
27,09/30/22 02:11:46 AM,-4.016,0.0125
28,09/30/22 08:11:46 AM,-2.215,0.0125
29,09/30/22 02:11:46 PM,-2.712,0.0125
30,09/30/22 08:11:46 PM,-2.650,0.0125
31,10/01/22 02:11:46 AM,-2.712,0.0187
32,10/01/22 08:11:46 AM,-2.899,0.0125
33,10/01/22 02:11:46 PM,-3.271,0.0187
34,10/01/22 08:11:46 PM,-4.016,0.0187
35,10/02/22 02:11:46 AM,-3.023,0.0125
36,10/02/22 08:11:46 AM,-2.961,0.0125
37,10/02/22 02:11:46 PM,-3.023,0.0125
38,10/02/22 08:11:46 PM,-2.588,0.0125
39,10/03/22 02:11:46 AM,-2.774,0.0125
40,10/03/22 08:11:46 AM,-2.899,0.0125
41,10/03/22 02:11:46 PM,-3.147,0.0125
42,10/03/22 08:11:46 PM,-2.899,0.0125
43,10/04/22 02:11:46 AM,-3.644,0.0125
44,10/04/22 08:11:46 AM,-3.644,0.0125
45,10/04/22 02:11:46 PM,-3.768,0.0187
46,10/04/22 08:11:46 PM,-3.395,0.0125
47,10/05/22 02:11:46 AM,-3.892,0.0125
48,10/05/22 08:11:46 AM,-4.327,0.0125
49,10/05/22 02:11:46 PM,-3.209,0.0125
50,10/05/22 08:11:46 PM,-3.768,0.0187
51,10/06/22 02:11:46 AM,-4.327,0.0125
52,10/06/22 08:11:46 AM,-5.320,0.0125
53,10/06/22 02:11:46 PM,-5.569,0.0187
54,10/06/22 08:11:46 PM,-7.059,0.0187
55,10/07/22 02:11:46 AM,-8.611,0.0187
56,10/07/22 08:11:46 AM,-7.742,0.0187
57,10/07/22 02:11:46 PM,-8.611,0.0187
58,10/07/22 08:11:46 PM,-9.046,0.0187
59,10/08/22 02:11:46 AM,-7.990,0.0125
60,10/08/22 08:11:46 AM,-7.369,0.0125
61,10/08/22 02:11:46 PM,-7.742,0.0187
62,10/08/22 08:11:46 PM,-8.301,0.0187
63,10/09/22 02:11:46 AM,-7.990,0.0125
64,10/09/22 08:11:46 AM,-7.866,0.0125
65,10/09/22 02:11:46 PM,-8.238,0.0187
66,10/09/22 08:11:46 PM,-9.046,0.0125
67,10/10/22 02:11:46 AM,-8.487,0.0125
68,10/10/22 08:11:46 AM,-8.735,0.0125
69,10/10/22 02:11:46 PM,-9.170,0.0125
70,10/10/22 08:11:46 PM,-7.990,0.0125
71,10/11/22 02:11:46 AM,-9.170,0.0125
72,10/11/22 08:11:46 AM,-8.797,0.0125
73,10/11/22 02:11:46 PM,-8.238,0.0125
74,10/11/22 08:11:46 PM,-8.549,0.0125
75,10/12/22 02:11:46 AM,-8.238,0.0125
76,10/12/22 08:11:46 AM,-8.301,0.0125
77,10/12/22 02:11:46 PM,-7.369,0.0187
78,10/12/22 08:11:46 PM,-3.706,0.0125
79,10/13/22 02:11:46 AM,-3.582,0.0125
80,10/13/22 08:11:46 AM,-7.431,0.0125
81,10/13/22 02:11:46 PM,-6.997,0.0125
82,10/13/22 08:11:46 PM,-6.686,0.0125
83,10/14/22 02:11:46 AM,-3.271,0.0125
84,10/14/22 08:11:46 AM,-8.673,0.0125
85,10/14/22 02:11:46 PM,-7.121,0.0125
86,10/14/22 08:11:46 PM,-6.500,0.0125
87,10/15/22 02:11:46 AM,-3.209,0.0125
88,10/15/22 08:11:46 AM,-8.487,0.0125
89,10/15/22 02:11:46 PM,-6.189,0.0125
90,10/15/22 08:11:46 PM,-3.519,0.0125
91,10/16/22 02:11:46 AM,-6.189,0.0125
92,10/16/22 08:11:46 AM,-6.065,0.0125
93,10/16/22 02:11:46 PM,-7.555,0.0125
94,10/16/22 08:11:46 PM,-6.376,0.0125
95,10/17/22 02:11:46 AM,-6.003,0.0125
96,10/17/22 08:11:46 AM,-6.376,0.0125
97,10/17/22 02:11:46 PM,-6.127,0.0125
98,10/17/22 08:11:46 PM,-5.941,0.0125
99,10/18/22 02:11:46 AM,-5.817,0.0125
100,10/18/22 08:11:46 AM,-6.127,0.0125
101,10/18/22 02:11:46 PM,-6.003,0.0125
102,10/18/22 08:11:46 PM,-6.003,0.0125
103,10/19/22 02:11:46 AM,-6.810,0.0125
104,10/19/22 08:11:46 AM,-7.307,0.0125
105,10/19/22 02:11:46 PM,-6.127,0.0125
106,10/19/22 08:11:46 PM,-5.879,0.0125
107,10/20/22 02:11:46 AM,-6.189,0.0125
108,10/20/22 08:11:46 AM,-5.879,0.0125
109,10/20/22 02:11:46 PM,-6.438,0.0125
110,10/20/22 08:11:46 PM,-7.680,0.0125
111,10/21/22 02:11:46 AM,-7.928,0.0125
112,10/21/22 08:11:46 AM,-6.065,0.0125
113,10/21/22 02:11:46 PM,-6.500,0.0125
114,10/21/22 08:11:46 PM,-5.879,0.0125
115,10/22/22 02:11:46 AM,-5.258,0.0125
116,10/22/22 08:11:46 AM,-5.382,0.0125
117,10/22/22 02:11:46 PM,-6.127,0.0125
118,10/22/22 08:11:46 PM,-5.506,0.0125
119,10/23/22 02:11:46 AM,-5.072,0.0125
120,10/23/22 08:11:46 AM,-4.202,0.0125
121,10/23/22 02:11:46 PM,-3.768,0.0125
122,10/23/22 08:11:46 PM,-3.954,0.0125
123,10/24/22 02:11:46 AM,-4.637,0.0125
124,10/24/22 08:11:46 AM,-5.072,0.0125
125,10/24/22 02:11:46 PM,-5.258,0.0125
126,10/24/22 08:11:46 PM,-4.823,0.0125
127,10/25/22 02:11:46 AM,-5.134,0.0125
128,10/25/22 08:11:46 AM,-4.575,0.0125
129,10/25/22 02:11:46 PM,-5.010,0.0125
130,10/25/22 08:11:46 PM,-4.637,0.0125
131,10/26/22 02:11:46 AM,-4.513,0.0125
132,10/26/22 08:11:46 AM,-4.575,0.0125
133,10/26/22 02:11:46 PM,-4.699,0.0125
134,10/26/22 08:11:46 PM,-4.451,0.0125
135,10/27/22 02:11:46 AM,-4.575,0.0125
136,10/27/22 08:11:46 AM,-4.575,0.0125
137,10/27/22 02:11:46 PM,-4.637,0.0125
138,10/27/22 08:11:46 PM,-4.513,0.0125
139,10/28/22 02:11:46 AM,-4.575,0.0125
140,10/28/22 08:11:46 AM,-4.637,0.0125
141,10/28/22 02:11:46 PM,-4.637,0.0125
142,10/28/22 08:11:46 PM,-3.457,0.0125
143,10/29/22 02:11:46 AM,-4.327,0.0125
144,10/29/22 08:11:46 AM,-4.885,0.0125
145,10/29/22 02:11:46 PM,-3.954,0.0125
146,10/29/22 08:11:46 PM,-4.202,0.0125
147,10/30/22 02:11:46 AM,-5.631,0.0125
148,10/30/22 08:11:46 AM,-3.644,0.0125
149,10/30/22 02:11:46 PM,-3.644,0.0125
150,10/30/22 08:11:46 PM,-3.519,0.0125
151,10/31/22 02:11:46 AM,-3.582,0.0125
152,10/31/22 08:11:46 AM,-4.389,0.0125
153,10/31/22 02:11:46 PM,-4.078,0.0125
154,10/31/22 08:11:46 PM,-4.078,0.0125
155,11/01/22 02:11:46 AM,-4.327,0.0125
156,11/01/22 08:11:46 AM,-4.637,0.0125
157,11/01/22 02:11:46 PM,-4.016,0.0125
158,11/01/22 08:11:46 PM,-3.519,0.0125
159,11/02/22 02:11:46 AM,-3.333,0.0125
160,11/02/22 08:11:46 AM,-3.333,0.0125
161,11/02/22 02:11:46 PM,-3.209,0.0125
162,11/02/22 08:11:46 PM,-3.023,0.0125
163,11/03/22 02:11:46 AM,-3.333,0.0125
164,11/03/22 08:11:46 AM,-3.209,0.0125
165,11/03/22 02:11:46 PM,-3.519,0.0125
166,11/03/22 08:11:46 PM,-3.395,0.0125
167,11/04/22 02:11:46 AM,-2.961,0.0125
168,11/04/22 08:11:46 AM,-3.209,0.0125
