,angle_1,angle_2,logger_temp_c
2022-09-23 22:29:08,-0.08898666,0.105074756,8.6119
2022-09-23 23:00:00,-0.08866831,0.105713375,4.48068
2022-09-24 00:00:00,-0.08871544,0.10555315,4.82882
2022-09-24 01:00:00,-0.08856411,0.10573345,3.65264
2022-09-24 02:00:00,-0.08866133,0.10562698,3.73888
2022-09-24 03:00:00,-0.08852415,0.10556467,2.62882
2022-09-24 04:00:00,-0.08849046,0.10559835,2.04523
2022-09-24 05:00:00,-0.08843322,0.10560219,1.49761
2022-09-24 06:00:00,-0.08841716,0.10562035,1.2865
2022-09-24 07:00:00,-0.0884292,0.10558107,1.17116
2022-09-24 08:00:00,-0.08840372,0.105593465,0.982796
2022-09-24 09:00:00,-0.08838731,0.10559731,0.769569
2022-09-24 10:00:00,-0.08838557,0.10560411,0.524061
2022-09-24 11:00:00,-0.08840459,0.10558195,0.545755
2022-09-24 12:00:00,-0.08836759,0.10558963,0.362686
2022-09-24 13:00:00,-0.08842728,0.105663456,0.453694
2022-09-24 14:00:00,-0.08838103,0.105644256,0.250519
2022-09-24 15:00:00,-0.08835118,0.105731525,0.059512
2022-09-24 16:00:00,-0.08834507,0.105749674,-0.345776
2022-09-24 17:00:00,-0.08845608,0.10586958,0.156867
2022-09-24 18:00:00,-0.08857022,0.10598651,1.1611
2022-09-24 19:00:00,-0.08882557,0.106101535,3.20872
2022-09-24 20:00:00,-0.0886636,0.10620905,2.74946
2022-09-24 21:00:00,-0.08869152,0.10588214,2.44152
2022-09-24 22:00:00,-0.08901197,0.10585806,4.79179
2022-09-24 23:00:00,-0.08938459,0.105758406,7.73253
2022-09-25 00:00:00,-0.088835515,0.10574688,4.6685
2022-09-25 01:00:00,-0.08880497,0.105469726,3.37433
2022-09-25 02:00:00,-0.08873167,0.10547845,2.94575
2022-09-25 03:00:00,-0.08859937,0.10545158,1.43782
2022-09-25 04:00:00,-0.08864091,0.105348945,1.54629
2022-09-25 05:00:00,-0.08863864,0.105330795,1.42671
2022-09-25 06:00:00,-0.08858576,0.10526168,0.932006
2022-09-25 07:00:00,-0.08861385,0.10534616,0.89444
2022-09-25 08:00:00,-0.08856866,0.105236895,0.80925
2022-09-25 09:00:00,-0.088573195,0.10523497,0.797082
2022-09-25 10:00:00,-0.08854283,0.105280876,0.697613
2022-09-25 11:00:00,-0.08851228,0.105393104,0.373269
2022-09-25 12:00:00,-0.08847353,0.10549764,-0.032019
2022-09-25 13:00:00,-0.08850094,0.10547461,-0.337312
2022-09-25 14:00:00,-0.08842588,0.105399735,-0.646831
2022-09-25 15:00:00,-0.08842588,0.10543343,-1.19128
2022-09-25 16:00:00,-0.08844596,0.105454534,-0.99498
2022-09-25 17:00:00,-0.088503726,0.10555891,-0.696569
2022-09-25 18:00:00,-0.08869065,0.10561738,0.917191
2022-09-25 19:00:00,-0.08899224,0.10572769,2.7029
2022-09-25 20:00:00,-0.08892051,0.1056577,3.02406
2022-09-25 21:00:00,-0.08909505,0.105794884,4.04999
