<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):23.09.2022 17:56:59>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D4/raw/A543D4_20220923105653.f2b>,,,,,,
<LOGGER: $A543D4>,,,,,,
<FILESIZE: 25695 Bytes>,,,,,,
<NEW PAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D4/par/A543D4_20220723160138.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 09:02:22>,,,,,,
<HK-BATUSED: 3.5 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
1,23.07.2022 09:02:22,14.7288,0.0858032,4.08059,14.72,3.407
<TIME: 23.07.2022 10:00:00>,,,,,,
2,23.07.2022 10:00:00,11.6167,0.0211487,4.07998,11.61,3.391
3,23.07.2022 11:00:00,10.4928,0.0430115,4.08572,,
4,23.07.2022 12:00:00,10.6505,0.0280701,4.08838,,
5,23.07.2022 13:00:00,10.7886,0.0230164,4.08107,,
6,23.07.2022 14:00:00,10.0405,0.0561401,4.0832,,
7,23.07.2022 15:00:00,10.1685,0.0543823,4.07466,,
8,23.07.2022 16:00:00,10.4458,0.0791016,4.06524,10.44,3.446
9,23.07.2022 17:00:00,10.4336,0.0854736,4.06426,,
10,23.07.2022 18:00:00,10.3939,0.107281,4.06689,,
11,23.07.2022 19:00:00,9.72036,0.0981628,4.06408,,
12,23.07.2022 20:00:00,8.97857,0.106567,4.06197,,
13,23.07.2022 21:00:00,8.62089,0.114038,4.05414,,
14,23.07.2022 22:00:00,8.04205,0.117059,4.04822,8.04,3.402
15,23.07.2022 23:00:00,7.61295,0.13244,4.04212,,
16,24.07.2022 00:00:00,7.232,0.124146,4.03419,,
17,24.07.2022 01:00:00,7.09761,0.137549,4.02504,,
18,24.07.2022 02:00:00,6.89709,0.142603,4.01713,,
19,24.07.2022 03:00:00,6.55263,0.139636,4.00967,,
20,24.07.2022 04:00:00,6.0939,0.147052,3.99985,6.09,3.344
21,24.07.2022 05:00:00,6.06534,0.149194,3.98782,,
22,24.07.2022 06:00:00,6.80925,0.154028,3.97084,,
23,24.07.2022 07:00:00,7.36005,0.153864,3.9588,,
