"Plot Title: Site_B_maxsonar"
"#","Date Time, GMT-07:00","Snow_distance, mm (LGR S/N: 21378392, SEN S/N: 21246212)","Current, mA (LGR S/N: 21378392, SEN S/N: 21246212)"
1,09/23/22 11:00:29 AM,517.10,0.0000
2,09/23/22 05:00:29 PM,530.73,0.0000
3,09/23/22 11:00:29 PM,527.14,0.0000
4,09/24/22 05:00:29 AM,526.43,0.0000
5,09/24/22 11:00:29 AM,526.43,0.0000
6,09/24/22 05:00:29 PM,530.73,0.0000
7,09/24/22 11:00:29 PM,526.43,0.0000
8,09/25/22 05:00:29 AM,526.43,0.0000
9,09/25/22 11:00:29 AM,527.14,0.0000
10,09/25/22 05:00:29 PM,527.86,0.0000
11,09/25/22 11:00:29 PM,525.71,0.0000
12,09/26/22 05:00:29 AM,524.27,0.0000
13,09/26/22 11:00:29 AM,527.14,0.0000
14,09/26/22 05:00:29 PM,527.14,0.0000
15,09/26/22 11:00:29 PM,526.43,0.0000
16,09/27/22 05:00:29 AM,526.43,0.0000
17,09/27/22 11:00:29 AM,527.14,0.0000
18,09/27/22 05:00:29 PM,527.14,0.0000
19,09/27/22 11:00:29 PM,524.99,0.0000
20,09/28/22 05:00:29 AM,523.56,0.0000
21,09/28/22 11:00:29 AM,524.27,0.0000
22,09/28/22 05:00:29 PM,532.89,0.0000
23,09/28/22 11:00:29 PM,522.84,0.0000
24,09/29/22 05:00:29 AM,523.56,0.0000
25,09/29/22 11:00:29 AM,526.43,0.0000
26,09/29/22 05:00:29 PM,533.60,0.0000
27,09/29/22 11:00:29 PM,526.43,0.0000
28,09/30/22 05:00:29 AM,524.99,0.0000
29,09/30/22 11:00:29 AM,524.99,0.0000
30,09/30/22 05:00:29 PM,527.86,0.0000
31,09/30/22 11:00:29 PM,525.71,0.0000
32,10/01/22 05:00:29 AM,524.27,0.0000
33,10/01/22 11:00:29 AM,525.71,0.0000
34,10/01/22 05:00:29 PM,527.14,0.0000
35,10/01/22 11:00:29 PM,522.84,0.0000
36,10/02/22 05:00:29 AM,522.84,0.0000
37,10/02/22 11:00:29 AM,524.99,0.0000
38,10/02/22 05:00:29 PM,525.71,0.0000
39,10/02/22 11:00:29 PM,522.84,0.0000
40,10/03/22 05:00:29 AM,523.56,0.0000
41,10/03/22 11:00:29 AM,522.84,0.0000
42,10/03/22 05:00:29 PM,526.43,0.0000
43,10/03/22 11:00:29 PM,523.56,0.0000
44,10/04/22 05:00:29 AM,523.56,0.0000
45,10/04/22 11:00:29 AM,524.99,0.0000
46,10/04/22 05:00:29 PM,530.73,0.0000
47,10/04/22 11:00:29 PM,526.43,0.0000
48,10/05/22 05:00:29 AM,524.27,0.0000
49,10/05/22 11:00:29 AM,524.99,0.0000
50,10/05/22 05:00:29 PM,528.58,0.0000
51,10/05/22 11:00:29 PM,525.71,0.0000
52,10/06/22 05:00:29 AM,525.71,0.0000
53,10/06/22 11:00:29 AM,527.14,0.0000
54,10/06/22 05:00:29 PM,536.47,0.0000
55,10/06/22 11:00:29 PM,532.17,0.0000
56,10/07/22 05:00:29 AM,531.45,0.0000
57,10/07/22 11:00:29 AM,532.89,0.0000
58,10/07/22 05:00:29 PM,543.65,0.0000
59,10/07/22 11:00:29 PM,532.89,0.0000
60,10/08/22 05:00:29 AM,524.27,0.0000
61,10/08/22 11:00:29 AM,525.71,0.0000
62,10/08/22 05:00:29 PM,532.89,0.0000
63,10/08/22 11:00:29 PM,530.01,0.0000
64,10/09/22 05:00:29 AM,527.86,0.0000
65,10/09/22 11:00:29 AM,528.58,0.0000
66,10/09/22 05:00:29 PM,528.58,0.0000
67,10/09/22 11:00:29 PM,525.71,0.0000
68,10/10/22 05:00:29 AM,524.99,0.0000
