<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 23:25:05>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D1/raw/A543D1_20230801152430.f2b>,,,,,,
<LOGGER: $A543D1>,,,,,,
<FILESIZE: 154914 Bytes>,,,,,,
<MEMORY CLEAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D1/par/A543D1_20220723132046.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 15:34:30>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
1,23.07.2022 15:34:30,11.4415,4.87024,2.37667,11.44,3.405
<TIME: 23.07.2022 16:00:00>,,,,,,
2,23.07.2022 16:00:00,10.8368,4.92056,2.37471,10.83,3.394
3,23.07.2022 17:00:00,9.99972,4.92863,2.88007,,
4,23.07.2022 18:00:00,9.91878,4.91726,2.87741,,
5,23.07.2022 19:00:00,9.55158,4.91028,2.87825,,
6,23.07.2022 20:00:00,9.0627,4.92056,2.87994,,
7,23.07.2022 21:00:00,8.45898,4.95346,2.87764,,
8,23.07.2022 22:00:00,7.78703,4.95818,2.87637,7.78,3.404
9,23.07.2022 23:00:00,7.35899,4.95406,2.87469,,
10,24.07.2022 00:00:00,7.10395,4.97302,2.87305,,
11,24.07.2022 01:00:00,6.9537,4.95467,2.8711,,
12,24.07.2022 02:00:00,6.68279,4.96912,2.869,,
13,24.07.2022 03:00:00,6.2738,4.94753,2.86874,,
14,24.07.2022 04:00:00,5.84628,4.93841,2.86871,5.84,3.413
15,24.07.2022 05:00:00,5.94522,4.93901,2.86394,,
16,24.07.2022 06:00:00,6.66427,4.93649,2.85714,,
17,24.07.2022 07:00:00,7.01295,4.92501,2.84929,,
18,24.07.2022 08:00:00,7.44575,4.92193,2.84312,,
19,24.07.2022 09:00:00,9.20872,8.08011,2.26719,,
<READOUT>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
20,24.07.2022 10:00:00,13.5627,8.07056,2.25922,13.56,3.401
21,24.07.2022 11:00:00,14.2352,8.08132,2.25714,,
22,24.07.2022 12:00:00,13.5262,8.08731,2.24923,,
23,24.07.2022 13:00:00,14.6225,8.07303,2.2297,,
24,24.07.2022 14:00:00,17.4701,8.06331,2.19497,,
25,24.07.2022 15:00:00,17.3786,8.05397,2.18044,,
26,24.07.2022 16:00:00,14.4045,8.0493,2.18608,14.4,3.408
27,24.07.2022 17:00:00,17.2352,8.05292,2.15629,,
28,24.07.2022 18:00:00,19.8468,8.06754,2.12733,,
29,24.07.2022 19:00:00,21.886,8.08204,2.08156,,
30,24.07.2022 20:00:00,14.7246,8.03183,2.11806,,
31,24.07.2022 21:00:00,13.2468,8.03392,2.11214,,
32,24.07.2022 22:00:00,14.877,8.04578,2.10044,14.87,3.448
33,24.07.2022 23:00:00,11.6288,8.02601,2.10917,,
34,25.07.2022 00:00:00,7.78439,8.01118,2.12251,,
35,25.07.2022 01:00:00,3.92354,8.00755,2.13287,,
36,25.07.2022 02:00:00,2.65581,7.99926,2.14197,,
37,25.07.2022 03:00:00,2.44046,7.99997,2.1493,,
38,25.07.2022 04:00:00,2.05845,7.99266,2.15148,2.05,3.428
39,25.07.2022 05:00:00,4.80607,7.98992,2.15224,,
40,25.07.2022 06:00:00,6.37751,7.9864,2.15152,,
41,25.07.2022 07:00:00,8.1828,7.98838,2.15605,,
42,25.07.2022 08:00:00,12.2823,7.97975,2.13808,,
43,25.07.2022 09:00:00,14.1394,7.98261,2.12262,,
44,25.07.2022 10:00:00,16.5341,7.96849,2.10112,16.53,3.476
45,25.07.2022 11:00:00,20.7129,7.96333,2.06391,,
46,25.07.2022 12:00:00,22.0452,7.94108,2.03158,,
47,25.07.2022 13:00:00,25.1616,7.94784,1.97485,,
48,25.07.2022 14:00:00,26.3473,7.95125,1.92878,,
49,25.07.2022 15:00:00,27.4272,7.9585,1.87128,,
50,25.07.2022 16:00:00,27.7039,7.95059,1.82113,27.7,3.386
51,25.07.2022 17:00:00,27.1008,8.00019,1.77346,,
52,25.07.2022 18:00:00,28.3045,7.99464,1.72365,,
53,25.07.2022 19:00:00,27.8352,8.0421,1.67132,,
54,25.07.2022 20:00:00,23.7336,8.01299,1.672,,
55,25.07.2022 21:00:00,20.3849,8.01249,1.67535,,
56,25.07.2022 22:00:00,19.3309,8.01145,1.67263,19.33,3.49
57,25.07.2022 23:00:00,18.2093,7.99398,1.67674,,
58,26.07.2022 00:00:00,16.7955,7.9897,1.68841,,
59,26.07.2022 01:00:00,15.2997,7.98349,1.69529,,
60,26.07.2022 02:00:00,16.5754,7.97091,1.68551,,
61,26.07.2022 03:00:00,16.5013,7.97228,1.70339,,
62,26.07.2022 04:00:00,15.4304,7.99019,1.7133,15.43,3.414
63,26.07.2022 05:00:00,13.1225,7.98508,1.74432,,
64,26.07.2022 06:00:00,13.4542,7.9914,1.7609,,
65,26.07.2022 07:00:00,14.3579,7.99118,1.76348,,
66,26.07.2022 08:00:00,15.8611,8.00332,1.76812,,
67,26.07.2022 09:00:00,18.3997,8.06358,1.74363,,
68,26.07.2022 10:00:00,18.0897,8.01562,1.76311,18.08,3.419
69,26.07.2022 11:00:00,15.9389,7.98701,1.79184,,
70,26.07.2022 12:00:00,16.5585,7.99997,1.79322,,
71,26.07.2022 13:00:00,16.6082,8.01826,1.78238,,
72,26.07.2022 14:00:00,17.2431,8.06188,1.78252,,
73,26.07.2022 15:00:00,18.2928,8.05446,1.75161,,
74,26.07.2022 16:00:00,17.3182,8.03749,1.77303,17.31,3.424
75,26.07.2022 17:00:00,21.9574,8.08121,1.70885,,
76,26.07.2022 18:00:00,21.4039,8.09802,1.76925,,
