"Plot Title: Hobo_A"
"#","Date Time, GMT-06:00","Snow Depth, Inches (LGR S/N: 21378708, SEN S/N: 21074600)","Current, mA (LGR S/N: 21378708, SEN S/N: 21074600)"
1,07/21/22 04:12:10 PM,10.886,0.0187
2,07/21/22 10:12:10 PM,16.350,0.0187
3,07/22/22 04:12:10 AM,12.501,0.0187
4,07/22/22 10:12:10 AM,13.680,0.0187
5,07/22/22 04:12:10 PM,16.475,0.0187
6,07/22/22 10:12:10 PM,15.978,0.0187
7,07/23/22 04:12:10 AM,13.059,0.0187
8,07/23/22 10:12:10 AM,10.514,0.0187
9,07/23/22 04:12:10 PM,10.638,0.0187
10,07/23/22 10:12:10 PM,10.576,0.0187
11,07/24/22 04:12:10 AM,8.899,0.0125
12,07/24/22 10:12:10 AM,9.396,0.0187
13,07/24/22 04:12:10 PM,12.749,0.0187
14,07/24/22 10:12:10 PM,11.259,0.0187
15,07/25/22 04:12:10 AM,10.017,0.0125
16,07/25/22 10:12:10 AM,7.657,0.0187
17,07/25/22 04:12:10 PM,13.929,0.0187
18,07/25/22 10:12:10 PM,16.909,0.0187
19,07/26/22 04:12:10 AM,13.618,0.0187
20,07/26/22 10:12:10 AM,12.128,0.0187
21,07/26/22 04:12:10 PM,12.190,0.0187
22,07/26/22 10:12:10 PM,13.059,0.0187
23,07/27/22 04:12:10 AM,11.259,0.0187
24,07/27/22 10:12:10 AM,7.409,0.0187
25,07/27/22 04:12:10 PM,11.259,0.0187
26,07/27/22 10:12:10 PM,9.768,0.0187
27,07/28/22 04:12:10 AM,9.272,0.0125
28,07/28/22 10:12:10 AM,8.527,0.0125
29,07/28/22 04:12:10 PM,10.141,0.0187
30,07/28/22 10:12:10 PM,8.837,0.0187
31,07/29/22 04:12:10 AM,8.961,0.0187
32,07/29/22 10:12:10 AM,8.527,0.0125
33,07/29/22 04:12:10 PM,9.644,0.0125
34,07/29/22 10:12:10 PM,8.651,0.0125
35,07/30/22 04:12:10 AM,9.023,0.0125
36,07/30/22 10:12:10 AM,9.520,0.0125
37,07/30/22 04:12:10 PM,7.781,0.0187
38,07/30/22 10:12:10 PM,10.638,0.0187
39,07/31/22 04:12:10 AM,8.651,0.0125
40,07/31/22 10:12:10 AM,10.514,0.0187
41,07/31/22 04:12:10 PM,12.252,0.0187
42,07/31/22 10:12:10 PM,13.121,0.0187
43,08/01/22 04:12:10 AM,10.638,0.0125
44,08/01/22 10:12:10 AM,9.210,0.0187
45,08/01/22 04:12:10 PM,12.128,0.0187
46,08/01/22 10:12:10 PM,10.762,0.0187
47,08/02/22 04:12:10 AM,10.451,0.0125
48,08/02/22 10:12:10 AM,8.651,0.0187
49,08/02/22 04:12:10 PM,9.582,0.0187
50,08/02/22 10:12:10 PM,6.478,0.0187
51,08/03/22 04:12:10 AM,9.334,0.0125
52,08/03/22 10:12:10 AM,8.216,0.0187
53,08/03/22 04:12:10 PM,10.824,0.0187
54,08/03/22 10:12:10 PM,13.059,0.0187
55,08/04/22 04:12:10 AM,11.010,0.0125
56,08/04/22 10:12:10 AM,9.210,0.0187
57,08/04/22 04:12:10 PM,14.674,0.0187
58,08/04/22 10:12:10 PM,15.605,0.0187
59,08/05/22 04:12:10 AM,10.514,0.0187
60,08/05/22 10:12:10 AM,11.755,0.0187
61,08/05/22 04:12:10 PM,12.066,0.0187
62,08/05/22 10:12:10 PM,15.233,0.0187
63,08/06/22 04:12:10 AM,12.004,0.0187
64,08/06/22 10:12:10 AM,9.210,0.0187
65,08/06/22 04:12:10 PM,8.713,0.0187
66,08/06/22 10:12:10 PM,5.919,0.0125
67,08/07/22 04:12:10 AM,7.968,0.0187
68,08/07/22 10:12:10 AM,5.608,0.0187
69,08/07/22 04:12:10 PM,9.458,0.0187
70,08/07/22 10:12:10 PM,11.818,0.0187
71,08/08/22 04:12:10 AM,8.030,0.0187
72,08/08/22 10:12:10 AM,7.471,0.0187
73,08/08/22 04:12:10 PM,10.265,0.0187
74,08/08/22 10:12:10 PM,9.706,0.0187
75,08/09/22 04:12:10 AM,6.540,0.0125
76,08/09/22 10:12:10 AM,6.105,0.0187
77,08/09/22 04:12:10 PM,10.141,0.0187
